GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_VC01,Number - Both sexes; Total population
HC07_VC09,Percent - Male; Total population - 35 to 39 years
HC08_VC09,Percent - Female; Total population - 35 to 39 years
HC09_VC09,Males per 100 females; Total population - 35 to 39 years
HC02_VC10,Number - Both sexes; Total population - 40 to 44 years
HC03_VC10,Number - Male; Total population - 40 to 44 years
HC04_VC10,Number - Female; Total population - 40 to 44 years
HC06_VC10,Percent - Both sexes; Total population - 40 to 44 years
HC07_VC10,Percent - Male; Total population - 40 to 44 years
HC08_VC10,Percent - Female; Total population - 40 to 44 years
HC09_VC10,Males per 100 females; Total population - 40 to 44 years
HC02_VC11,Number - Both sexes; Total population - 45 to 49 years
HC03_VC11,Number - Male; Total population - 45 to 49 years
HC04_VC11,Number - Female; Total population - 45 to 49 years
HC06_VC11,Percent - Both sexes; Total population - 45 to 49 years
HC07_VC11,Percent - Male; Total population - 45 to 49 years
HC08_VC11,Percent - Female; Total population - 45 to 49 years
HC09_VC11,Males per 100 females; Total population - 45 to 49 years
HC02_VC12,Number - Both sexes; Total population - 50 to 54 years
HC03_VC12,Number - Male; Total population - 50 to 54 years
HC04_VC12,Number - Female; Total population - 50 to 54 years
HC06_VC12,Percent - Both sexes; Total population - 50 to 54 years
HC07_VC12,Percent - Male; Total population - 50 to 54 years
HC08_VC12,Percent - Female; Total population - 50 to 54 years
HC09_VC12,Males per 100 females; Total population - 50 to 54 years
HC02_VC13,Number - Both sexes; Total population - 55 to 59 years
HC03_VC13,Number - Male; Total population - 55 to 59 years
HC04_VC13,Number - Female; Total population - 55 to 59 years
HC06_VC13,Percent - Both sexes; Total population - 55 to 59 years
HC07_VC13,Percent - Male; Total population - 55 to 59 years
HC08_VC13,Percent - Female; Total population - 55 to 59 years
HC09_VC13,Males per 100 females; Total population - 55 to 59 years
HC02_VC14,Number - Both sexes; Total population - 60 to 64 years
HC03_VC14,Number - Male; Total population - 60 to 64 years
HC04_VC14,Number - Female; Total population - 60 to 64 years
HC06_VC14,Percent - Both sexes; Total population - 60 to 64 years
HC07_VC14,Percent - Male; Total population - 60 to 64 years
HC08_VC14,Percent - Female; Total population - 60 to 64 years
HC09_VC14,Males per 100 females; Total population - 60 to 64 years
HC02_VC15,Number - Both sexes; Total population - 65 to 69 years
HC03_VC15,Number - Male; Total population - 65 to 69 years
HC04_VC15,Number - Female; Total population - 65 to 69 years
HC06_VC15,Percent - Both sexes; Total population - 65 to 69 years
HC07_VC15,Percent - Male; Total population - 65 to 69 years
HC08_VC15,Percent - Female; Total population - 65 to 69 years
HC09_VC15,Males per 100 females; Total population - 65 to 69 years
HC02_VC16,Number - Both sexes; Total population - 70 to 74 years
HC03_VC16,Number - Male; Total population - 70 to 74 years
HC04_VC16,Number - Female; Total population - 70 to 74 years
HC06_VC16,Percent - Both sexes; Total population - 70 to 74 years
HC07_VC16,Percent - Male; Total population - 70 to 74 years
HC08_VC16,Percent - Female; Total population - 70 to 74 years
HC09_VC16,Males per 100 females; Total population - 70 to 74 years
HC02_VC17,Number - Both sexes; Total population - 75 to 79 years
HC03_VC17,Number - Male; Total population - 75 to 79 years
HC04_VC17,Number - Female; Total population - 75 to 79 years
HC06_VC17,Percent - Both sexes; Total population - 75 to 79 years
HC07_VC17,Percent - Male; Total population - 75 to 79 years
HC08_VC17,Percent - Female; Total population - 75 to 79 years
HC09_VC17,Males per 100 females; Total population - 75 to 79 years
HC02_VC18,Number - Both sexes; Total population - 80 to 84 years
HC03_VC18,Number - Male; Total population - 80 to 84 years
HC04_VC18,Number - Female; Total population - 80 to 84 years
HC06_VC18,Percent - Both sexes; Total population - 80 to 84 years
HC07_VC18,Percent - Male; Total population - 80 to 84 years
HC08_VC18,Percent - Female; Total population - 80 to 84 years
HC09_VC18,Males per 100 females; Total population - 80 to 84 years
HC02_VC19,Number - Both sexes; Total population - 85 to 89 years
HC03_VC19,Number - Male; Total population - 85 to 89 years
HC04_VC19,Number - Female; Total population - 85 to 89 years
HC06_VC19,Percent - Both sexes; Total population - 85 to 89 years
HC07_VC19,Percent - Male; Total population - 85 to 89 years
HC08_VC19,Percent - Female; Total population - 85 to 89 years
HC09_VC19,Males per 100 females; Total population - 85 to 89 years
HC02_VC20,Number - Both sexes; Total population - 90 years and over
HC03_VC20,Number - Male; Total population - 90 years and over
HC04_VC20,Number - Female; Total population - 90 years and over
HC06_VC20,Percent - Both sexes; Total population - 90 years and over
HC07_VC20,Percent - Male; Total population - 90 years and over
HC08_VC20,Percent - Female; Total population - 90 years and over
HC09_VC20,Males per 100 females; Total population - 90 years and over
HC02_VC21,Number - Both sexes; Total population - Under 18 years
HC03_VC21,Number - Male; Total population - Under 18 years
HC04_VC21,Number - Female; Total population - Under 18 years
HC06_VC21,Percent - Both sexes; Total population - Under 18 years
HC07_VC21,Percent - Male; Total population - Under 18 years
HC08_VC21,Percent - Female; Total population - Under 18 years
HC09_VC21,Males per 100 females; Total population - Under 18 years
HC02_VC22,Number - Both sexes; Total population - 18 to 64 years
HC03_VC22,Number - Male; Total population - 18 to 64 years
HC04_VC22,Number - Female; Total population - 18 to 64 years
HC06_VC22,Percent - Both sexes; Total population - 18 to 64 years
HC07_VC22,Percent - Male; Total population - 18 to 64 years
HC08_VC22,Percent - Female; Total population - 18 to 64 years
HC09_VC22,Males per 100 females; Total population - 18 to 64 years
HC02_VC23,Number - Both sexes; Total population - 18 to 64 years - 18 to 24 years
HC03_VC23,Number - Male; Total population - 18 to 64 years - 18 to 24 years
HC04_VC23,Number - Female; Total population - 18 to 64 years - 18 to 24 years
HC06_VC23,Percent - Both sexes; Total population - 18 to 64 years - 18 to 24 years
HC07_VC23,Percent - Male; Total population - 18 to 64 years - 18 to 24 years
HC08_VC23,Percent - Female; Total population - 18 to 64 years - 18 to 24 years
HC09_VC23,Males per 100 females; Total population - 18 to 64 years - 18 to 24 years
HC02_VC24,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years
HC03_VC24,Number - Male; Total population - 18 to 64 years - 25 to 44 years
HC04_VC24,Number - Female; Total population - 18 to 64 years - 25 to 44 years
HC06_VC24,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years
HC07_VC24,Percent - Male; Total population - 18 to 64 years - 25 to 44 years
HC08_VC24,Percent - Female; Total population - 18 to 64 years - 25 to 44 years
HC09_VC24,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years
HC02_VC25,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC03_VC25,Number - Male; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC04_VC25,Number - Female; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC06_VC25,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC07_VC25,Percent - Male; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC08_VC25,Percent - Female; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC09_VC25,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years - 25 to 34 years
HC02_VC26,Number - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC03_VC26,Number - Male; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC04_VC26,Number - Female; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC06_VC26,Percent - Both sexes; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC07_VC26,Percent - Male; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC08_VC26,Percent - Female; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC09_VC26,Males per 100 females; Total population - 18 to 64 years - 25 to 44 years - 35 to 44 years
HC02_VC27,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years
HC03_VC27,Number - Male; Total population - 18 to 64 years - 45 to 64 years
HC04_VC27,Number - Female; Total population - 18 to 64 years - 45 to 64 years
HC06_VC27,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years
HC07_VC27,Percent - Male; Total population - 18 to 64 years - 45 to 64 years
HC08_VC27,Percent - Female; Total population - 18 to 64 years - 45 to 64 years
HC09_VC27,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years
HC02_VC28,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC03_VC28,Number - Male; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC04_VC28,Number - Female; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC06_VC28,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC07_VC28,Percent - Male; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC08_VC28,Percent - Female; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC09_VC28,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
HC02_VC29,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC03_VC29,Number - Male; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC04_VC29,Number - Female; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC06_VC29,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC07_VC29,Percent - Male; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC08_VC29,Percent - Female; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC09_VC29,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HC02_VC30,Number - Both sexes; Total population - 65 years and over
HC03_VC30,Number - Male; Total population - 65 years and over
HC04_VC30,Number - Female; Total population - 65 years and over
HC06_VC30,Percent - Both sexes; Total population - 65 years and over
HC07_VC30,Percent - Male; Total population - 65 years and over
HC08_VC30,Percent - Female; Total population - 65 years and over
HC09_VC30,Males per 100 females; Total population - 65 years and over
HC02_VC31,Number - Both sexes; Total population - 65 years and over - 65 to 74 years
HC03_VC31,Number - Male; Total population - 65 years and over - 65 to 74 years
HC04_VC31,Number - Female; Total population - 65 years and over - 65 to 74 years
HC06_VC31,Percent - Both sexes; Total population - 65 years and over - 65 to 74 years
HC07_VC31,Percent - Male; Total population - 65 years and over - 65 to 74 years
HC08_VC31,Percent - Female; Total population - 65 years and over - 65 to 74 years
HC09_VC31,Males per 100 females; Total population - 65 years and over - 65 to 74 years
HC02_VC32,Number - Both sexes; Total population - 65 years and over - 75 to 84 years
HC03_VC32,Number - Male; Total population - 65 years and over - 75 to 84 years
HC04_VC32,Number - Female; Total population - 65 years and over - 75 to 84 years
HC06_VC32,Percent - Both sexes; Total population - 65 years and over - 75 to 84 years
HC07_VC32,Percent - Male; Total population - 65 years and over - 75 to 84 years
HC08_VC32,Percent - Female; Total population - 65 years and over - 75 to 84 years
HC09_VC32,Males per 100 females; Total population - 65 years and over - 75 to 84 years
HC02_VC33,Number - Both sexes; Total population - 65 years and over - 85 years and over
HC03_VC33,Number - Male; Total population - 65 years and over - 85 years and over
HC04_VC33,Number - Female; Total population - 65 years and over - 85 years and over
HC06_VC33,Percent - Both sexes; Total population - 65 years and over - 85 years and over
HC07_VC33,Percent - Male; Total population - 65 years and over - 85 years and over
HC08_VC33,Percent - Female; Total population - 65 years and over - 85 years and over
HC09_VC33,Males per 100 females; Total population - 65 years and over - 85 years and over
HC02_VC34,Number - Both sexes; Total population - 16 years and over
HC03_VC34,Number - Male; Total population - 16 years and over
HC04_VC34,Number - Female; Total population - 16 years and over
HC06_VC34,Percent - Both sexes; Total population - 16 years and over
HC07_VC34,Percent - Male; Total population - 16 years and over
HC08_VC34,Percent - Female; Total population - 16 years and over
HC09_VC34,Males per 100 females; Total population - 16 years and over
HC02_VC35,Number - Both sexes; Total population - 18 years and over
HC03_VC35,Number - Male; Total population - 18 years and over
HC04_VC35,Number - Female; Total population - 18 years and over
HC06_VC35,Percent - Both sexes; Total population - 18 years and over
HC07_VC35,Percent - Male; Total population - 18 years and over
HC08_VC35,Percent - Female; Total population - 18 years and over
HC09_VC35,Males per 100 females; Total population - 18 years and over
HC02_VC36,Number - Both sexes; Total population - 21 years and over
HC03_VC36,Number - Male; Total population - 21 years and over
HC04_VC36,Number - Female; Total population - 21 years and over
HC06_VC36,Percent - Both sexes; Total population - 21 years and over
HC07_VC36,Percent - Male; Total population - 21 years and over
HC08_VC36,Percent - Female; Total population - 21 years and over
HC09_VC36,Males per 100 females; Total population - 21 years and over
HC02_VC37,Number - Both sexes; Total population - 60 years and over
HC03_VC37,Number - Male; Total population - 60 years and over
HC04_VC37,Number - Female; Total population - 60 years and over
HC06_VC37,Percent - Both sexes; Total population - 60 years and over
HC07_VC37,Percent - Male; Total population - 60 years and over
HC08_VC37,Percent - Female; Total population - 60 years and over
HC09_VC37,Males per 100 females; Total population - 60 years and over
HC02_VC38,Number - Both sexes; Total population - 62 years and over
HC03_VC38,Number - Male; Total population - 62 years and over
HC04_VC38,Number - Female; Total population - 62 years and over
HC06_VC38,Percent - Both sexes; Total population - 62 years and over
HC07_VC38,Percent - Male; Total population - 62 years and over
HC08_VC38,Percent - Female; Total population - 62 years and over
HC09_VC38,Males per 100 females; Total population - 62 years and over
HC02_VC39,Number - Both sexes; Total population - 67 years and over
HC03_VC39,Number - Male; Total population - 67 years and over
HC04_VC39,Number - Female; Total population - 67 years and over
HC06_VC39,Percent - Both sexes; Total population - 67 years and over
HC07_VC39,Percent - Male; Total population - 67 years and over
HC08_VC39,Percent - Female; Total population - 67 years and over
HC09_VC39,Males per 100 females; Total population - 67 years and over
HC02_VC40,Number - Both sexes; Total population - 75 years and over
HC03_VC40,Number - Male; Total population - 75 years and over
HC04_VC40,Number - Female; Total population - 75 years and over
HC06_VC40,Percent - Both sexes; Total population - 75 years and over
HC07_VC40,Percent - Male; Total population - 75 years and over
HC08_VC40,Percent - Female; Total population - 75 years and over
HC09_VC40,Males per 100 females; Total population - 75 years and over
HC02_VC41,Number - Both sexes; Total population - Median age (years)
HC03_VC41,Number - Male; Total population - Median age (years)
HC04_VC41,Number - Female; Total population - Median age (years)
HC06_VC41,Percent - Both sexes; Total population - Median age (years)
HC07_VC41,Percent - Male; Total population - Median age (years)
HC08_VC41,Percent - Female; Total population - Median age (years)
HC09_VC41,Males per 100 females; Total population - Median age (years)
